epoch,train_loss,val_loss
1,3.6877,3.9226
2,3.6524,3.856
3,3.6276,3.9384
4,3.6472,3.9306
5,3.2953,3.5163
6,3.2467,3.5558
7,3.2435,3.5787
8,3.2603,3.5154
9,3.2467,3.6053
10,3.2605,3.5952
11,3.274,3.5628
12,3.2744,3.5739
13,3.2553,3.5515
14,3.2626,3.5325
15,3.2638,3.5201
16,3.0642,3.3829
17,3.0831,3.3407
18,3.0781,3.4388
19,3.0713,3.3526
20,3.0709,3.3205
21,3.0699,3.3687
22,3.059,3.4097
23,3.0608,3.3244
24,3.0596,3.3343
25,3.0564,3.3893
26,2.8855,3.098
27,2.8777,3.1258
28,2.8766,3.0978
29,2.8739,3.1212
30,2.87,3.1155
31,2.8798,3.187
32,2.8565,3.1398
33,2.8664,3.1344
34,2.8655,3.1665
35,2.8537,3.1421
36,2.7071,2.9239
37,2.6906,2.9965
38,2.6965,2.977
39,2.6752,2.909
40,2.467,2.682
41,2.4702,2.6971
42,2.4612,2.6692
43,2.4533,2.6677
44,2.455,2.6513
45,2.4616,2.657
46,2.3803,2.5672
47,2.3523,2.5452
48,2.3486,2.543
49,2.3565,2.5365
50,2.3355,2.5295
51,2.3356,2.5285
52,2.3349,2.546
53,2.3332,2.5295
54,2.3262,2.5356
55,2.3283,2.5148
56,2.349,2.5406
57,2.3336,2.5325
58,2.3167,2.5058
59,2.3064,2.4951
60,2.3036,2.497
61,2.2787,2.5052
62,2.2849,2.4842
63,2.2726,2.4857
64,2.2743,2.4928
65,2.2673,2.5125
66,2.1655,2.497
67,2.151,2.4788
68,2.1309,2.4859
69,2.122,2.5139
70,2.1094,2.5144
71,2.2186,2.4569
72,2.2136,2.445
73,2.1834,2.4325
74,2.183,2.4431
75,2.1717,2.4394
76,2.1647,2.4428
77,2.1652,2.462
78,2.154,2.4463
79,2.1305,2.4341
80,2.1286,2.4473
81,2.1001,2.4161
82,2.0801,2.407
83,2.0722,2.4128
84,2.0614,2.4084
85,2.0591,2.4122
86,2.03,2.4269
87,2.0195,2.4214
88,2.006,2.4289
89,2.0027,2.4138
90,1.9991,2.4254
91,1.9999,2.4074
92,1.994,2.3813
93,1.9789,2.392
94,1.9826,2.4054
95,1.9677,2.3937
96,1.9623,2.3902
97,1.9589,2.3899
98,1.9617,2.3903
99,1.9487,2.4147
100,1.9442,2.3973
101,1.9213,2.3855
102,1.9137,2.3867
103,1.9055,2.3882
104,1.9052,2.3787
105,1.9112,2.3713
