epoch,train_loss,val_loss
1,5.7952,5.5952
2,5.3536,5.24
3,5.1248,5.0176
4,4.9424,4.9168
5,4.7696,4.8288
6,4.6256,4.5232
7,4.5104,4.384
8,4.424,4.4416
9,4.3472,4.2896
10,4.2752,4.1568
11,4.2128,4.176
12,4.1584,4.1184
13,4.1152,4.0928
14,4.0672,3.9856
15,4.0384,3.9344
16,3.9984,3.9792
17,3.984,4.7136
18,3.984,3.96
19,3.9216,3.9152
20,3.896,3.9728
21,3.8784,3.8832
22,3.8688,3.7504
23,3.832,3.8656
24,3.816,3.7568
25,3.7968,3.744
26,3.7744,3.7632
27,3.7536,3.8208
28,3.7456,3.7312
29,3.7216,3.7072
30,3.7056,3.6944
31,3.6864,3.6624
32,3.6704,3.7008
33,3.6592,3.5856
34,3.6448,3.624
35,3.6256,3.72
36,3.6128,3.7376
37,3.6096,3.624
38,3.5904,3.688
39,3.584,3.5424
40,3.5648,3.592
41,3.5536,3.72
42,3.536,3.6304
43,3.5376,3.5168
44,3.5232,3.5232
45,3.512,3.4976
46,3.5008,3.5232
47,3.4928,3.4912
48,3.4752,3.504
49,3.4672,3.472
50,3.4496,3.4784
51,3.44,3.536
52,3.4416,3.504
53,3.4256,3.4784
54,3.4256,3.44
55,3.3936,3.4336
56,3.408,3.408
57,3.3888,3.4528
58,3.3936,3.3712
59,3.3808,3.3904
60,3.3712,3.504
61,3.3478,3.3572
62,3.339,3.3421
63,3.3367,3.3296
64,3.3233,3.3309
65,3.3108,3.423
66,3.3005,3.4096
67,3.3068,3.3156
68,3.2905,3.4187
69,3.2836,3.286
70,3.2768,3.4145
71,3.2639,3.3308
72,3.2714,3.2807
73,3.2602,3.2868
74,3.2541,3.268
75,3.2462,3.3774
76,3.2442,3.2544
77,3.2295,3.2807
78,3.2357,3.2819
79,3.221,3.2583
80,3.2121,3.3763
81,3.2071,3.2671
82,3.2054,3.2223
83,3.1959,3.2534
84,3.1944,3.2193
85,3.1805,3.2307
86,3.1856,3.2438
87,3.1818,3.1776
88,3.1676,3.2786
89,3.1618,3.209
90,3.1463,3.2412
91,3.1499,3.1932
92,3.1442,3.2173
93,3.1387,3.2186
94,3.1339,3.2042
95,3.1348,3.1631
96,3.1185,3.2374
97,3.1222,3.19
98,3.1219,3.193
99,3.1095,3.1537
100,3.1058,3.1998
101,3.113,3.1577
102,3.1042,3.1478
103,3.103,3.183
104,3.1003,3.2375
105,3.0988,3.1615
106,3.0864,3.1634
107,3.0938,3.1906
108,3.0815,3.1547
109,3.0803,3.2839
110,3.0732,3.1861
111,3.0454,3.1802
112,3.0454,3.1268
113,3.0396,3.1296
114,3.0331,3.1685
115,3.0289,3.2425
116,3.0277,3.1221
117,3.0140,3.1395
118,3.0225,3.1742
119,3.0141,3.1225
120,3.0126,3.2475
121,2.9949,3.1244
122,2.9932,3.1044
123,2.9875,3.0988
124,2.9794,3.1473
125,2.9731,3.231
126,2.9774,3.0981
127,2.9613,3.1294
128,2.973,3.136
129,2.9644,3.0979
130,2.9609,3.2536
131,2.9914,3.1159
132,3.0112,3.0659
133,3.0017,3.1207
134,2.9972,3.087
135,2.9859,3.084
136,2.9934,3.0988
137,2.9961,3.0623
138,2.9836,3.1698
139,2.9833,3.077
140,2.9764,3.1198
141,2.9346,3.1198
142,2.9353,3.0567
143,2.9283,3.0711
144,2.9222,3.1083
145,2.9151,3.1842
146,2.9194,3.0365
147,2.9037,3.1012
148,2.9156,3.0758
149,2.9079,3.0451
150,2.904,3.1439
151,2.9173,3.0429
152,2.93,3.0285
153,2.9215,3.0719
154,2.9185,3.0558
155,2.9092,3.0272
156,2.9145,3.0539
157,2.9193,3.0209
158,2.9091,3.1093
159,2.9098,3.0417
160,2.9025,3.0624
161,2.8696,3.0054
162,2.8633,2.9953
163,2.8709,2.9706
164,2.8681,2.9961
165,2.8601,2.9789
166,2.8768,2.9793
167,2.8663,2.987
168,2.8695,2.9662
169,2.8594,3.0226
170,2.8644,2.9739
171,2.8585,2.9879
172,2.8514,2.9888
173,2.8558,2.9749
174,2.8618,2.9751
175,2.8509,2.9774
176,2.8457,2.9547
177,2.849,2.9591
178,2.8346,2.9564
179,2.8462,2.9887
180,2.839,2.9811
