epoch,train_loss,val_loss
1,7.0,5.1774
2,5.2154,4.9256
3,4.9787,4.7643
4,4.7466,4.5668
5,4.5908,4.3177
6,4.4854,4.3335
7,4.3789,4.2981
8,4.2934,4.0728
9,4.2046,4.1306
10,4.1331,4.1449
11,4.0671,3.8825
12,4.0248,3.9053
13,3.9598,3.8971
14,3.919,3.945
15,3.864,3.6966
16,3.8147,3.6931
17,3.7902,3.6038
18,3.7525,3.6985
19,3.7094,3.5309
20,3.6814,3.5316
21,3.6449,3.6128
22,3.621,3.6341
23,3.5985,3.4609
24,3.5784,3.4017
25,3.549,3.4384
26,3.5352,3.3948
27,3.5123,3.4707
28,3.4843,3.3667
29,3.4861,3.3247
30,3.4722,3.363
31,3.4602,3.3162
32,3.448,3.2334
33,3.4409,3.2529
34,3.4281,3.2061
35,3.4062,3.2525
36,3.4049,3.2519
37,3.3822,3.3189
38,3.3754,3.2906
39,3.372,3.2848
40,3.3531,3.2044
41,3.3524,3.1671
42,3.3332,3.3031
43,3.3326,3.2674
44,3.3307,3.138
45,3.3092,3.3113
46,3.1669,2.9832
47,3.1444,2.986
48,3.1296,2.9922
49,3.1173,2.9738
50,3.1206,3.0267
51,3.0907,2.9964
52,3.0943,2.9602
53,3.0875,2.9532
54,3.081,3.0074
55,3.0639,2.9606
56,3.0766,2.9735
57,3.0524,2.922
58,3.0391,2.9857
59,3.0418,2.905
60,3.0336,2.9903
61,3.0524,2.9307
62,3.0413,2.9161
63,3.0498,2.9342
64,3.0254,2.9326
65,3.0178,2.916
66,3.0022,2.9236
67,3.0207,2.8886
68,3.0065,2.9896
69,3.0067,2.9079
70,3.008,2.9008
71,2.9106,2.7982
72,2.8822,2.8596
73,2.8795,2.7928
74,2.8801,2.7874
75,2.8729,2.8301
76,2.859,2.8059
77,2.8675,2.7787
78,2.8518,2.8044
79,2.8512,2.7828
80,2.8406,2.7602
81,2.7513,2.6771
82,2.7246,2.6689
83,2.7165,2.6784
84,2.7015,2.6671
85,2.6985,2.6596
86,2.681,2.6598
87,2.6915,2.6508
88,2.6867,2.6489
89,2.6841,2.655
90,2.6779,2.6584
91,2.6184,2.6133
92,2.613,2.5995
93,2.6085,2.5975
94,2.592,2.5931
95,2.5958,2.5961
96,2.5868,2.5965
97,2.5813,2.597
98,2.5892,2.5964
99,2.5708,2.6002
100,2.5821,2.5871
101,2.5528,2.5796
102,2.5527,2.5757
103,2.5401,2.5646
104,2.5368,2.5683
105,2.5376,2.5819
106,2.5354,2.5629
107,2.5404,2.5655
108,2.5307,2.5611
109,2.5333,2.5707
110,2.5289,2.5688
111,2.5154,2.5488
112,2.5074,2.5543
113,2.5075,2.5464
114,2.5077,2.5573
115,2.5033,2.554
116,2.503,2.56
117,2.5035,2.5485
118,2.4861,2.5505
119,2.4958,2.5483
120,2.4965,2.5424
